5048,103,6
3138,121,12
277,2346,4
106,813,18
1538,107,12
3987,114,5
1391,101,28
3030,129,5
8936,316,6
4633,105,5
1724,124,6
504,822,4
14713,332,3
4409,101,13
127,2389,5
2850,124,4
110,2279,7
104,7899,4
386,4666,3
1482,260,3
303,3555,3
16122,586,3
4303,427,3
120,4983,3
8735,103,4
119,12984,3
143,331,13
1342,1393,5
12308,105,3
1139,345,4
9036,107,5
360,700,3
228,10916,4
366,327,5
123,6584,3
102,12642,3
289,355,8
911,7170,7
396,14306,3
1161,383,3
470,4834,3
4919,21,4
102,114,821
5352,103,5
12216,1267,4
240,147,13
1819,57,7
724,131,10
3664,838,18
764,57,13
119,894,17
233,12389,4
276,121,36
102,187,235
168,169,21
4538,109,5
4482,121,13
2905,105,11
1264,164,4
12,2728,24
132,206,35
129,4054,3
455,103,45
2408,112,6
188,978,4
1176,206,3
343,2803,5
181,1701,4
108,5859,4
1641,351,3
11596,4402,4
589,421,18
909,1420,3
1758,1466,3
1300,281,6
805,1442,3
262,614,8
108,3864,5
102,6449,5
8949,2661,4
10527,28,5
2102,1429,36
121,2145,8
14844,105,3
102,291,88
9562,107,3
168,304,11
533,371,3
1606,226,7
317,688,4
229,292,7
5679,615,3
123,4877,5
117,1271,10
8761,106,6
3379,314,4
143,3025,6
161,1054,8
330,6502,3
106,4575,9
284,7819,3
1154,3610,3
709,386,3
152,1492,13
869,286,4
143,2949,3
737,2137,4
177,2821,3
905,330,16
130,1910,9
114,6629,3
924,12,41
1986,117,8
4156,12,11
146,5793,3
254,1162,5
101,2386,13
6012,106,4
4451,115,6
265,205,14
5126,186,3
109,1876,11
2317,108,15
772,7932,7
285,14,313
101,2310,14
404,220,6
209,108,79
4910,12,8
14,1943,40
118,5158,4
102,8863,5
3793,106,7
184,652,7
459,426,4
244,396,5
8983,102,6
331,663,4
13338,1515,3
106,8362,4
9269,12,5
7764,3834,7
10119,110,5
13196,1236,3
101,14925,3
12,436,54
124,2399,8
587,2334,3
1477,179,5
742,123,15
21,142,313
12,488,20
109,12163,3
1406,106,14
943,14,84
2500,758,5
1081,108,13
333,193,16
12,540,135
593,102,34
208,198,11
14814,4284,3
117,581,28
6522,130,3
6161,102,7
3017,142,4
58,177,65
985,753,3
114,1134,9
1767,106,21
846,106,30
117,513,17
123,6162,3
668,102,46
1602,184,4
14423,1441,3
892,576,4
2481,8819,6
1659,102,21
101,5683,8
2860,1634,3
411,225,5
10584,106,3
401,405,18
101,3593,9
9350,12,5
113,5047,12
14,615,127
431,337,7
917,7856,3
773,123,11
221,2321,5
188,5491,3
5299,113,11
1255,12,10
3851,119,4
2303,128,8
12,1204,62
1706,481,4
148,1945,5
3448,3309,10
125,5160,3
1542,172,3
596,569,3
102,5719,5
689,104,31
5647,110,4
13629,2239,3
4820,205,3
446,106,43
804,14789,3
195,204,12
1932,139,4
135,2757,4
6058,123,3
235,1003,4
765,15538,3
11435,108,4
159,241,23
195,6466,9
201,6513,5
251,4874,5
948,6578,4
4309,1070,4
8575,119,4
1974,651,6
1487,401,3
146,285,13
1342,16,8
110,3564,5
441,247,4
106,8224,3
201,9129,3
1279,1473,5
2131,432,3
595,690,6
130,2572,5
575,444,3
1969,16258,3
1139,13,5
3107,121,22
651,1129,6
1578,1832,6
2534,101,22
581,107,23
935,2651,3
6003,103,7
187,1521,4
7106,1981,8
559,777,4
3480,107,14
341,945,5
931,109,41
769,5371,11
520,1131,3
101,7930,7
710,112,12
136,763,7
765,1862,4
5161,201,3
824,103,30
261,7290,4
5226,107,10
182,134,40
610,143,15
117,15238,3
10126,169,3
1208,4010,16
299,1712,4
201,4832,6
11681,101,4
128,3977,3
1029,1318,3
11625,289,3
105,15798,3
1676,503,6
57,869,11
5385,103,5
12,6125,9
3429,5128,12
1972,541,3
334,501,3
106,11986,4
695,131,11
135,523,9
3639,103,7
2018,105,17
659,180,6
1377,136,6
1090,105,15
348,118,20
151,2349,3
1413,103,20
105,9678,4
268,285,12
212,338,14
710,414,3
3660,351,3
451,1022,3
106,1624,10
105,3592,7
2065,446,4
842,244,7
359,1069,8
102,11614,3
481,469,3
274,2143,5
2,228,98
1426,503,4
463,107,26
101,1915,17
435,131,30
107,11447,4
109,2493,9
156,141,37
268,116,26
120,6155,9
176,21,162
1247,3741,4
397,582,8
612,4770,8
106,12243,3
1250,12555,4
2868,401,3
996,16,7
6,251,5
9731,107,3
1900,251,3
580,660,3
234,1654,3
9211,8298,5
1752,107,9
1331,114,11
1215,121,19
3748,107,13
4217,150,15
399,5584,10
8,1987,3
683,741,3
358,219,5
692,3669,4
1222,1537,3
594,136,12
107,1537,13
607,2351,3
168,1115,4
558,103,31
13397,427,3
932,766,3
5998,107,4
942,134,6
340,589,3
115,3458,4
629,185,8
2742,180,3
106,5551,7
353,891,5
117,6263,5
513,123,71
2779,200,3
101,3338,11
395,4413,3
105,7998,4
1254,198,4
2206,177,4
3656,104,6
277,1891,3
3948,117,4
226,177,24
147,1527,6
3260,108,6
21,11781,3
714,106,36
4905,110,4
110,1950,10
687,1959,7
1310,148,4
215,6137,9
704,529,18
297,108,80
365,184,7
678,132,10
5083,11497,4
1129,1261,5
102,10017,4
160,717,22
123,5957,3
7096,3228,4
4628,2832,4
12706,12,3
109,703,36
1204,470,12
14246,1947,3
714,237,7
4131,4587,3
102,9965,5
1160,359,18
101,3254,15
2463,1392,5
9823,104,3
102,16153,3
1839,375,4
1485,288,3
201,12,408
1265,128,9
7796,120,3
165,133,48
5096,2382,12
103,2768,10
3643,102,8
115,7996,4
6651,128,7
122,2373,5
1048,495,5
132,4094,3
10084,361,5
16239,2129,3
1381,137,6
